bioguide_id,first_name,last_name,last_name_upper,full_name,state,party,type,term_start,term_end,state_rank
C001059,Jim,Costa,COSTA,Jim Costa,CA,Democrat,rep,2017-01-03,2019-01-03,
C001059,Jim,Costa,COSTA,Jim Costa,CA,Democrat,rep,2019-01-03,2021-01-03,
C001059,Jim,Costa,COSTA,Jim Costa,CA,Democrat,rep,2021-01-03,2023-01-03,
C001059,Jim,Costa,COSTA,Jim Costa,CA,Democrat,rep,2023-01-03,2025-01-03,
C001059,Jim,Costa,COSTA,Jim Costa,CA,Democrat,rep,2025-01-03,2027-01-03,
C001069,Joe,Courtney,COURTNEY,Joe Courtney,CT,Democrat,rep,2013-01-03,2015-01-03,
C001069,Joe,Courtney,COURTNEY,Joe Courtney,CT,Democrat,rep,2015-01-06,2017-01-03,
C001069,Joe,Courtney,COURTNEY,Joe Courtney,CT,Democrat,rep,2017-01-03,2019-01-03,
C001069,Joe,Courtney,COURTNEY,Joe Courtney,CT,Democrat,rep,2019-01-03,2021-01-03,
C001069,Joe,Courtney,COURTNEY,Joe Courtney,CT,Democrat,rep,2021-01-03,2023-01-03,
C001069,Joe,Courtney,COURTNEY,Joe Courtney,CT,Democrat,rep,2023-01-03,2025-01-03,
C001069,Joe,Courtney,COURTNEY,Joe Courtney,CT,Democrat,rep,2025-01-03,2027-01-03,
C000880,Michael,Crapo,CRAPO,Mike Crapo,ID,Republican,sen,2011-01-05,2017-01-03,senior
C000880,Michael,Crapo,CRAPO,Mike Crapo,ID,Republican,sen,2017-01-03,2023-01-03,senior
C000880,Michael,Crapo,CRAPO,Mike Crapo,ID,Republican,sen,2023-01-03,2029-01-03,senior
C001087,Eric,Crawford,CRAWFORD,"Eric A. ""Rick"" Crawford",AR,Republican,rep,2013-01-03,2015-01-03,
C001087,Eric,Crawford,CRAWFORD,"Eric A. ""Rick"" Crawford",AR,Republican,rep,2015-01-06,2017-01-03,
C001087,Eric,Crawford,CRAWFORD,"Eric A. ""Rick"" Crawford",AR,Republican,rep,2017-01-03,2019-01-03,
C001087,Eric,Crawford,CRAWFORD,"Eric A. ""Rick"" Crawford",AR,Republican,rep,2019-01-03,2021-01-03,
C001087,Eric,Crawford,CRAWFORD,"Eric A. ""Rick"" Crawford",AR,Republican,rep,2021-01-03,2023-01-03,
C001087,Eric,Crawford,CRAWFORD,"Eric A. ""Rick"" Crawford",AR,Republican,rep,2023-01-03,2025-01-03,
C001087,Eric,Crawford,CRAWFORD,"Eric A. ""Rick"" Crawford",AR,Republican,rep,2025-01-03,2027-01-03,
C001063,Henry,Cuellar,CUELLAR,Henry Cuellar,TX,Democrat,rep,2013-01-03,2015-01-03,
C001063,Henry,Cuellar,CUELLAR,Henry Cuellar,TX,Democrat,rep,2015-01-06,2017-01-03,
C001063,Henry,Cuellar,CUELLAR,Henry Cuellar,TX,Democrat,rep,2017-01-03,2019-01-03,
C001063,Henry,Cuellar,CUELLAR,Henry Cuellar,TX,Democrat,rep,2019-01-03,2021-01-03,
C001063,Henry,Cuellar,CUELLAR,Henry Cuellar,TX,Democrat,rep,2021-01-03,2023-01-03,
C001063,Henry,Cuellar,CUELLAR,Henry Cuellar,TX,Democrat,rep,2023-01-03,2025-01-03,
C001063,Henry,Cuellar,CUELLAR,Henry Cuellar,TX,Democrat,rep,2025-01-03,2027-01-03,
D000096,Danny,Davis,DAVIS,Danny K. Davis,IL,Democrat,rep,2013-01-03,2015-01-03,
D000096,Danny,Davis,DAVIS,Danny K. Davis,IL,Democrat,rep,2015-01-06,2017-01-03,
D000096,Danny,Davis,DAVIS,Danny K. Davis,IL,Democrat,rep,2017-01-03,2019-01-03,
D000096,Danny,Davis,DAVIS,Danny K. Davis,IL,Democrat,rep,2019-01-03,2021-01-03,
D000096,Danny,Davis,DAVIS,Danny K. Davis,IL,Democrat,rep,2021-01-03,2023-01-03,
D000096,Danny,Davis,DAVIS,Danny K. Davis,IL,Democrat,rep,2023-01-03,2025-01-03,
D000096,Danny,Davis,DAVIS,Danny K. Davis,IL,Democrat,rep,2025-01-03,2027-01-03,
D000197,Diana,DeGette,DEGETTE,Diana DeGette,CO,Democrat,rep,2013-01-03,2015-01-03,
D000197,Diana,DeGette,DEGETTE,Diana DeGette,CO,Democrat,rep,2015-01-06,2017-01-03,
D000197,Diana,DeGette,DEGETTE,Diana DeGette,CO,Democrat,rep,2017-01-03,2019-01-03,
D000197,Diana,DeGette,DEGETTE,Diana DeGette,CO,Democrat,rep,2019-01-03,2021-01-03,
D000197,Diana,DeGette,DEGETTE,Diana DeGette,CO,Democrat,rep,2021-01-03,2023-01-03,
D000197,Diana,DeGette,DEGETTE,Diana DeGette,CO,Democrat,rep,2023-01-03,2025-01-03,
D000197,Diana,DeGette,DEGETTE,Diana DeGette,CO,Democrat,rep,2025-01-03,2027-01-03,
D000216,Rosa,DeLauro,DELAURO,Rosa L. DeLauro,CT,Democrat,rep,2013-01-03,2015-01-03,
D000216,Rosa,DeLauro,DELAURO,Rosa L. DeLauro,CT,Democrat,rep,2015-01-06,2017-01-03,
D000216,Rosa,DeLauro,DELAURO,Rosa L. DeLauro,CT,Democrat,rep,2017-01-03,2019-01-03,
D000216,Rosa,DeLauro,DELAURO,Rosa L. DeLauro,CT,Democrat,rep,2019-01-03,2021-01-03,
D000216,Rosa,DeLauro,DELAURO,Rosa L. DeLauro,CT,Democrat,rep,2021-01-03,2023-01-03,
D000216,Rosa,DeLauro,DELAURO,Rosa L. DeLauro,CT,Democrat,rep,2023-01-03,2025-01-03,
D000216,Rosa,DeLauro,DELAURO,Rosa L. DeLauro,CT,Democrat,rep,2025-01-03,2027-01-03,
D000616,Scott,DesJarlais,DESJARLAIS,Scott DesJarlais,TN,Republican,rep,2013-01-03,2015-01-03,
D000616,Scott,DesJarlais,DESJARLAIS,Scott DesJarlais,TN,Republican,rep,2015-01-06,2017-01-03,
D000616,Scott,DesJarlais,DESJARLAIS,Scott DesJarlais,TN,Republican,rep,2017-01-03,2019-01-03,
D000616,Scott,DesJarlais,DESJARLAIS,Scott DesJarlais,TN,Republican,rep,2019-01-03,2021-01-03,
D000616,Scott,DesJarlais,DESJARLAIS,Scott DesJarlais,TN,Republican,rep,2021-01-03,2023-01-03,
D000616,Scott,DesJarlais,DESJARLAIS,Scott DesJarlais,TN,Republican,rep,2023-01-03,2025-01-03,
D000616,Scott,DesJarlais,DESJARLAIS,Scott DesJarlais,TN,Republican,rep,2025-01-03,2027-01-03,
D000600,Mario,Diaz-Balart,DIAZ-BALART,Mario Diaz-Balart,FL,Republican,rep,2013-01-03,2015-01-03,
D000600,Mario,Diaz-Balart,DIAZ-BALART,Mario Diaz-Balart,FL,Republican,rep,2015-01-06,2017-01-03,
D000600,Mario,Diaz-Balart,DIAZ-BALART,Mario Diaz-Balart,FL,Republican,rep,2017-01-03,2019-01-03,
D000600,Mario,Diaz-Balart,DIAZ-BALART,Mario Diaz-Balart,FL,Republican,rep,2019-01-03,2021-01-03,
